Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration_ms,Failed_Login_Attempts,Malware_Signature_Detected,Is_Attack
58285,3961,ICMP,1310,17546,2,0,1
56690,2333,TCP,1080,57029,0,0,0
21944,3047,ICMP,1331,9923,9,1,0
17703,7410,TCP,131,4696,5,0,0
54130,7457,UDP,247,47221,11,1,1
30492,3347,ICMP,277,47097,9,1,0
11673,8402,ICMP,950,54487,12,1,1
4067,51,UDP,76,44408,13,1,1
29003,6150,UDP,271,18744,8,1,0
13269,6323,TCP,420,18871,4,0,0
2533,8772,UDP,291,20176,13,0,0
33662,540,TCP,865,31087,1,1,0
24201,6783,UDP,703,46422,13,0,1
9971,245,UDP,1492,7291,3,0,1
33714,8731,TCP,1065,2949,1,0,0
58130,6863,TCP,1401,11681,12,1,0
7721,8864,ICMP,1170,8871,8,1,1
46667,1789,TCP,1312,28029,7,1,0
19426,2643,ICMP,183,13753,14,0,1
48068,7203,UDP,60,52712,11,1,0
38476,7555,TCP,665,2453,14,1,0
42939,8564,UDP,1429,10784,6,1,1
26445,6994,TCP,183,2250,1,0,1
62645,2129,UDP,539,32631,2,0,0
38610,7202,UDP,1134,21149,6,1,1
61299,6164,UDP,973,45701,3,1,0
49461,6767,ICMP,941,25427,3,0,1
54952,4668,UDP,281,21056,11,1,0
29333,8009,UDP,969,2087,1,1,0
25468,2093,ICMP,776,20888,11,1,0
59996,7291,TCP,450,57838,1,1,1
54567,6948,TCP,1280,32309,3,1,1
11199,2542,TCP,1413,17827,0,1,0
27792,1097,UDP,312,22973,4,1,1
9436,7197,ICMP,988,28794,8,1,0
39730,2515,TCP,283,736,6,1,0
59123,7562,UDP,1078,9278,2,1,0
25240,5533,ICMP,1496,51546,4,0,0
4732,4696,UDP,566,20068,4,1,0
3489,6901,UDP,125,802,4,0,1
20207,368,ICMP,427,18613,11,0,0
37741,2614,ICMP,1442,49639,14,1,0
6150,2829,TCP,957,29786,7,1,0
29978,8920,ICMP,931,44024,2,0,0
41103,8536,UDP,194,51798,6,1,1
52957,3137,ICMP,1308,15213,0,0,1
21984,1261,ICMP,836,12144,6,0,1
51693,3480,TCP,968,35959,1,0,1
48559,5555,UDP,1050,33688,3,0,0
63176,5795,TCP,1172,32466,11,1,1
19877,1298,UDP,1359,58106,5,1,1
38749,899,UDP,864,51572,13,1,0
21706,1756,TCP,350,42464,9,0,0
61310,1062,TCP,1178,46250,9,1,0
17432,7795,ICMP,756,45477,6,1,0
13404,494,UDP,1287,54496,13,0,0
23932,233,ICMP,619,14158,12,0,0
51861,8432,UDP,484,8269,9,1,0
9333,2953,ICMP,1173,8933,1,0,0
64302,7097,UDP,588,49095,12,0,0
29490,1691,UDP,734,12470,9,0,0
48072,8542,UDP,728,37447,3,1,1
24181,5290,ICMP,1053,58538,5,1,1
49080,6474,UDP,997,2971,1,1,0
56856,8378,TCP,606,23768,9,0,1
11537,6776,TCP,235,32071,1,1,0
63104,4173,UDP,1296,48077,1,1,1
18736,7666,ICMP,360,27115,13,0,1
42383,6395,ICMP,57,18604,5,0,0
3663,4095,ICMP,286,5034,14,1,0
18768,7100,ICMP,853,545,5,0,1
53300,1246,UDP,1120,30628,4,0,0
1612,5654,UDP,685,28596,8,0,1
18207,733,TCP,1291,10982,11,1,1
49968,3913,ICMP,381,15148,0,1,1
51889,8942,UDP,786,6100,9,0,1
32634,5050,TCP,1246,10588,9,1,1
22765,5873,UDP,365,24947,14,1,1
39725,1773,ICMP,163,10745,5,1,1
31563,8761,TCP,682,46739,12,0,0
29870,6315,TCP,138,37920,11,1,1
40400,2613,ICMP,1181,8576,9,0,0
30723,5506,UDP,1358,3295,13,1,1
63069,663,ICMP,1275,46596,13,1,1
44794,5146,ICMP,857,27960,5,0,1
49356,2275,TCP,1403,37907,10,1,1
31086,6319,ICMP,901,29898,1,1,1
30813,7488,TCP,581,43872,3,0,0
2926,6732,TCP,625,43111,4,1,0
39012,7566,ICMP,1093,32473,7,1,0
52527,7191,UDP,362,55540,4,0,1
45316,1684,UDP,308,12021,4,0,1
36461,7792,ICMP,383,35847,1,0,1
15451,5127,TCP,128,32700,9,1,1
4907,4680,UDP,186,8372,5,0,0
5190,193,TCP,1355,58979,6,0,0
39871,2518,ICMP,236,7526,1,0,0
37936,5892,ICMP,1446,37262,4,1,1
62170,6846,TCP,788,40985,14,0,0
32512,350,ICMP,202,15935,2,1,0
62487,7533,ICMP,500,39978,5,1,0
15325,6939,ICMP,1265,47936,13,1,1
6968,1651,UDP,415,30740,13,1,1
19543,2114,ICMP,316,59476,8,0,0
42258,7281,UDP,1421,6150,14,0,1
35771,4765,TCP,407,23779,5,1,0
3548,1935,UDP,1277,34238,4,0,0
5742,8724,TCP,1483,22087,10,1,1
6512,6261,TCP,548,10277,1,0,0
8144,8658,ICMP,940,20973,9,0,1
23785,1612,ICMP,727,17503,9,0,0
38001,7842,TCP,189,53047,8,1,0
50541,2557,TCP,1045,16771,1,1,0
23360,647,TCP,469,39428,5,0,0
30715,5984,ICMP,1002,22265,13,1,0
23500,6526,TCP,655,37966,4,0,0
36538,2055,ICMP,1306,58948,4,0,1
30710,3463,UDP,528,27716,7,1,1
57779,1629,ICMP,788,24624,13,1,1
43383,4845,TCP,1063,2939,13,1,1
64114,4025,ICMP,961,11421,13,0,1
59837,5126,UDP,1166,13922,7,1,1
31110,8806,UDP,1011,37260,6,1,0
14834,6014,TCP,771,25187,0,0,0
38358,2493,TCP,243,26037,0,0,0
21345,7461,TCP,426,56471,14,1,1
28372,258,TCP,118,9471,8,1,0
23416,5210,TCP,692,2480,2,0,1
7290,2098,ICMP,48,57518,4,0,0
61854,3685,UDP,953,44040,8,0,0
42682,5491,UDP,1472,49613,4,1,0
46932,1832,UDP,1430,9679,13,0,0
64040,6112,ICMP,1023,45374,2,0,0
12869,6682,TCP,58,9445,7,1,1
7325,6615,UDP,270,21167,4,1,1
49155,850,UDP,1008,57057,2,1,0
50788,6526,ICMP,1314,24959,4,1,1
53242,6766,ICMP,542,13707,8,0,1
42084,8759,TCP,964,2893,4,1,0
23967,7246,UDP,448,41660,7,1,0
48788,3628,ICMP,217,28292,3,0,1
5157,3423,TCP,1446,21857,12,0,0
32510,5815,TCP,149,15966,3,0,0
28887,3182,TCP,1317,852,1,0,1
42466,8297,TCP,633,30333,11,0,0
16137,5978,TCP,443,17169,11,0,0
55635,5950,TCP,1439,42310,13,0,1
25274,6406,UDP,1196,24255,10,0,0
35000,7200,UDP,702,31257,4,0,1
60189,89,TCP,432,3902,7,1,0
56245,8123,ICMP,1133,11820,2,1,0
24933,566,TCP,1425,28808,0,1,1
63807,1261,TCP,490,3905,5,0,0
11011,433,UDP,561,31030,11,0,0
9380,2644,UDP,904,30086,8,1,0
6600,5521,ICMP,1050,20330,11,0,0
63505,2532,UDP,341,52641,11,1,0
44473,3873,ICMP,665,24448,9,0,0
62781,8463,TCP,1414,34215,5,0,1
30469,1045,TCP,381,25900,11,0,0
57218,8160,UDP,754,34984,0,1,0
58296,6718,ICMP,578,7620,0,0,0
40534,3975,UDP,1175,45653,8,1,0
10450,7901,TCP,1258,55300,0,0,1
41379,8889,TCP,1257,24242,14,1,0
50138,2010,TCP,396,51369,12,1,0
32482,5119,UDP,838,30056,9,1,1
39379,5377,TCP,1167,34347,13,1,0
35199,7962,ICMP,158,52731,5,0,1
21055,3624,TCP,1037,33155,11,0,0
37718,4687,ICMP,867,15021,14,0,0
28594,8047,ICMP,254,5861,13,1,0
30388,2694,UDP,862,18953,11,1,0
5766,6474,TCP,1001,53952,12,1,1
4418,6085,ICMP,1345,58143,6,1,0
23157,6412,TCP,679,19445,9,1,0
15116,642,TCP,1360,6050,7,0,0
54405,3154,TCP,175,15470,12,0,1
59870,1155,UDP,1348,17498,12,1,0
22174,7821,UDP,242,15944,6,0,1
23640,273,UDP,264,36162,14,0,0
25997,5318,ICMP,513,33555,12,0,1
50513,4601,TCP,648,26995,3,1,0
44163,4845,ICMP,1033,25200,3,1,1
40778,1162,ICMP,99,23379,9,0,0
3261,7150,UDP,1079,13672,14,0,0
56183,5149,TCP,916,30085,5,0,1
53388,3220,UDP,556,36251,0,1,1
23678,8516,TCP,1106,1585,5,0,1
3867,4475,TCP,431,19832,13,1,1
13877,6667,TCP,612,12529,10,1,0
13314,4748,UDP,845,35387,5,0,1
47970,1248,ICMP,853,15021,11,0,0
40378,1195,UDP,592,39182,10,1,0
21645,606,ICMP,1105,39088,14,0,1
63089,5349,UDP,412,59190,13,1,0
35289,3083,TCP,296,24866,13,1,1
38909,7189,UDP,1363,34230,10,0,0
1741,1898,ICMP,511,54657,9,0,1
51258,8562,TCP,1026,12671,12,0,0
24533,5650,UDP,186,36820,2,0,1
41950,1521,TCP,306,41080,3,0,0
11131,7401,TCP,1110,15865,7,0,0
58125,4067,UDP,1353,43588,4,1,1
29714,3811,ICMP,249,52941,14,0,0
62926,1826,UDP,1335,52167,0,1,0
42705,1664,ICMP,1378,45500,14,0,0
8642,3662,UDP,855,47994,6,1,1
25859,728,TCP,605,52678,4,0,0
28124,6228,ICMP,735,11365,11,0,1
20732,7064,TCP,47,13112,14,0,0
61207,463,UDP,376,45591,11,1,0
30360,2413,ICMP,340,35397,6,0,0
37766,1254,TCP,1087,56716,10,0,0
17724,7637,UDP,169,48898,13,1,0
51763,4275,ICMP,1112,11642,11,0,0
59135,8980,ICMP,1383,41145,14,1,0
42645,7256,UDP,1370,21954,10,0,0
63872,3483,ICMP,211,50950,10,1,0
31783,1936,TCP,278,4292,4,0,1
35321,1007,TCP,1155,28885,8,1,1
59879,4275,ICMP,1092,9231,5,1,0
48775,7545,TCP,507,38671,7,0,0
4224,542,ICMP,60,10837,11,0,0
37729,3760,TCP,801,59401,14,0,0
63890,2921,UDP,621,32492,12,0,1
19659,5753,TCP,87,3567,1,0,0
30044,731,ICMP,212,28963,9,1,1
15124,3831,ICMP,1217,13898,13,0,0
28809,7487,ICMP,899,25853,0,0,0
56599,1483,TCP,496,3950,3,1,1
18006,547,UDP,934,18704,10,0,1
62087,3150,UDP,102,37443,1,1,0
65506,7658,ICMP,757,670,9,1,1
53361,4297,TCP,1446,50120,8,1,0
8967,747,ICMP,695,21834,0,0,0
4692,1814,ICMP,836,5925,1,0,0
36544,2941,TCP,756,41985,6,0,1
23122,6398,ICMP,1342,11550,14,1,0
21009,7124,UDP,932,25810,0,1,0
65459,7246,UDP,222,51334,6,1,0
19462,8722,UDP,576,43905,0,1,0
30327,5911,UDP,86,56113,6,1,0
43443,3471,TCP,1041,18245,4,1,1
48125,8070,TCP,1096,37419,4,1,0
22722,7374,UDP,1321,37032,11,0,0
27657,211,TCP,1113,10542,8,1,0
53150,3795,UDP,1392,36496,8,1,0
25725,7318,ICMP,980,20812,0,0,1
60701,4357,ICMP,872,39453,4,0,0
50769,2034,ICMP,1450,15730,12,0,0
13476,3079,UDP,1055,5104,12,1,1
41414,6797,ICMP,1426,45288,0,0,0
44888,7519,TCP,712,39871,4,0,1
61343,5932,UDP,941,53144,8,0,1
5467,871,ICMP,916,32402,0,0,0
15493,2717,UDP,301,8337,7,1,1
32444,972,TCP,1013,11098,1,1,0
12638,3692,UDP,1331,52673,2,1,1
44730,485,UDP,1384,13867,2,1,1
14580,4423,ICMP,190,55100,10,0,1
21436,1989,TCP,811,59790,10,0,1
43522,7679,TCP,381,9837,1,1,0
30070,4798,UDP,1467,25695,7,0,0
7676,3832,ICMP,704,2161,13,0,0
11811,7004,TCP,1021,11970,10,1,1
4336,4300,ICMP,832,3168,12,0,0
45748,1557,TCP,1291,15615,9,1,0
44510,1470,ICMP,433,39322,0,1,0
9508,4280,TCP,565,955,9,0,1
8295,1160,UDP,279,6726,10,0,0
18218,2094,ICMP,650,7052,14,1,1
27625,2526,UDP,366,15957,14,1,1
39505,8637,TCP,764,19719,11,0,0
39098,7759,UDP,503,11925,11,1,1
58799,7304,TCP,528,48415,12,0,0
6060,750,ICMP,89,46876,9,1,0
26830,6467,UDP,616,33884,8,0,0
13485,8893,ICMP,781,28684,6,0,0
9495,7721,ICMP,696,59529,1,0,1
20891,5693,UDP,419,47816,8,1,0
59938,5634,ICMP,1391,48833,3,0,0
31085,5716,ICMP,1283,39760,5,0,1
56340,6534,UDP,714,53919,2,1,0
24050,7711,TCP,1044,34903,2,0,0
42694,7576,TCP,1241,13263,4,0,1
26526,3063,UDP,861,6224,13,1,0
23176,6867,UDP,73,41661,13,1,0
29690,6211,UDP,312,54818,5,0,0
8299,7351,UDP,215,39427,2,1,1
58529,4507,TCP,138,34895,0,0,1
5797,5001,UDP,862,13953,7,1,0
18733,1813,TCP,1110,27548,8,1,1
52124,4314,TCP,1062,54429,8,1,0
24334,7480,ICMP,558,40485,11,0,1
29002,2037,ICMP,525,17137,4,0,0
39802,2284,UDP,928,58346,2,0,0
9951,3556,TCP,575,52963,14,1,1
1350,5470,ICMP,305,2058,13,0,1
61755,3095,TCP,1413,8359,14,0,1
58430,3611,UDP,1191,54236,13,1,0
50596,6644,UDP,477,48804,14,1,0
44663,4851,UDP,66,59793,7,1,1
8964,8365,UDP,142,46509,10,1,0
16761,728,UDP,978,54026,7,0,1
34255,2853,ICMP,310,51338,8,1,0
20590,5754,ICMP,1223,22281,5,1,1
49289,6158,TCP,104,15008,12,0,0
60081,1163,TCP,707,24618,7,1,1
29442,5622,TCP,827,21838,13,0,0
62546,4719,UDP,1185,5785,11,0,0
57602,3780,UDP,799,58043,5,0,1
30223,6389,TCP,1308,12112,12,1,0
7892,6480,TCP,404,3346,4,1,0
28347,730,UDP,908,11550,5,1,1
38384,8454,TCP,89,53413,14,1,1
25780,4052,UDP,1065,53236,0,0,1
43163,5995,UDP,140,33748,8,1,0
40530,5406,UDP,543,56907,14,1,0
36774,6571,UDP,128,4138,9,1,1
10973,8633,ICMP,256,44201,9,0,1
44097,38,ICMP,267,47780,8,0,1
50443,6866,ICMP,1154,16890,11,1,0
17026,1384,UDP,920,54544,4,1,0
8059,4757,TCP,1007,25311,3,1,0
3894,8267,UDP,287,48502,6,1,1
61777,3733,ICMP,1238,42597,1,1,1
18980,5232,UDP,544,29320,4,0,0
11846,4750,ICMP,280,39060,5,0,0
34712,7575,TCP,1233,3811,5,0,1
24178,4752,TCP,1184,24775,2,0,0
44113,8827,TCP,955,53056,3,0,1
36141,5885,UDP,1118,46191,8,1,0
60217,8662,UDP,660,52734,7,0,0
5667,5554,UDP,1260,26373,0,0,1
38734,778,ICMP,1247,27159,6,1,0
32265,997,ICMP,686,31985,11,0,1
57590,3378,ICMP,265,42256,3,0,0
10629,4108,UDP,563,48307,9,0,0
9870,8420,TCP,1212,37651,14,0,0
64475,56,ICMP,850,29965,14,1,0
28238,2011,ICMP,354,31039,10,1,0
50373,5499,UDP,1152,50832,8,0,0
18422,691,UDP,1443,50215,12,0,1
50841,7951,ICMP,1073,15949,3,0,0
32866,6683,ICMP,973,1876,10,0,1
21262,5681,TCP,577,36346,1,1,0
11346,4365,UDP,1422,43660,10,0,0
21836,7986,ICMP,238,40120,6,0,0
63922,7249,UDP,331,48302,14,0,0
12494,3695,UDP,1459,28687,5,0,0
62101,4141,ICMP,1159,15614,6,1,0
52535,3967,UDP,250,21346,14,0,0
42020,2810,UDP,569,31395,1,0,0
25116,8511,UDP,244,25503,10,1,0
54540,8273,ICMP,134,21280,1,0,1
6833,8580,TCP,1346,47392,3,0,1
51113,206,TCP,206,37837,6,0,1
65016,6501,TCP,450,20208,2,0,0
38195,5558,UDP,1170,18874,4,0,1
52200,8553,UDP,74,37211,7,0,1
12987,6401,TCP,810,14745,12,1,0
43503,836,TCP,169,56025,4,1,0
65098,3561,UDP,450,56088,1,0,1
55456,6974,TCP,1461,23404,3,0,0
54090,447,TCP,859,49809,1,1,0
29498,3379,UDP,1402,32814,12,0,1
63814,1278,UDP,756,28258,13,1,0
3085,2275,UDP,1413,46374,9,0,0
64889,4194,UDP,517,36132,10,0,1
13038,813,TCP,1200,20148,10,1,0
20358,7709,TCP,1278,6169,2,0,1
12375,1753,ICMP,1179,18404,8,0,1
10647,6031,TCP,918,56264,0,1,0
2255,8317,TCP,309,38838,4,1,1
4069,5688,TCP,235,50997,4,1,0
46533,6877,UDP,717,59496,9,1,0
9961,6143,UDP,247,4810,11,1,1
32888,4614,ICMP,1439,44705,7,0,0
53249,339,ICMP,1072,57619,8,0,0
3163,700,ICMP,689,51403,1,0,0
5111,1435,TCP,48,27505,0,1,1
53105,6425,UDP,896,8700,7,0,0
17807,7604,ICMP,686,23421,9,0,1
20602,3352,TCP,868,40620,8,0,0
51904,3482,UDP,1119,48316,7,1,0
36476,1287,ICMP,266,23071,11,0,1
30621,2145,UDP,135,40051,8,1,1
8464,2697,ICMP,1334,18617,11,1,1
22885,8708,TCP,1016,30842,0,1,1
4466,4998,TCP,1098,13451,1,0,0
36892,4538,TCP,617,18885,7,0,0
41705,6728,TCP,316,22434,1,1,1
1940,683,ICMP,771,27362,8,1,0
13161,1487,TCP,915,36148,13,0,0
44787,4005,UDP,351,26698,11,1,1
50475,8288,ICMP,1277,5223,13,0,1
26674,8574,UDP,1490,46153,3,1,1
52740,3915,ICMP,570,4824,5,0,0
31649,482,TCP,86,45555,12,1,0
19644,4362,TCP,1050,37486,10,1,1
40898,5226,UDP,1246,4331,5,1,0
33741,5524,ICMP,1349,36491,5,1,1
50136,2405,UDP,167,43075,6,1,1
29852,2834,UDP,935,52478,14,1,0
6758,2468,TCP,356,37571,5,0,0
28831,7126,TCP,1223,49932,6,1,0
54306,4686,ICMP,314,11879,8,1,0
8233,4505,TCP,498,16140,5,1,0
25313,2512,TCP,1154,52765,0,0,0
4693,8456,TCP,891,2218,13,1,1
40049,7940,ICMP,876,15038,9,1,0
21634,5436,ICMP,504,41238,2,1,0
18145,4770,UDP,148,21739,14,1,0
27401,88,UDP,43,30898,5,1,0
40707,7886,TCP,686,51593,7,0,0
39116,7181,ICMP,502,994,2,0,0
34971,4879,TCP,819,58067,11,1,1
11582,5237,UDP,560,26651,4,1,0
46499,8893,TCP,1424,22336,3,0,0
17395,6414,ICMP,1385,22248,13,0,0
14148,490,TCP,1336,10544,10,1,0
10124,2114,TCP,851,10979,1,0,0
38418,1965,UDP,317,13979,1,1,1
20752,6677,ICMP,272,1103,13,0,0
31722,4824,TCP,1077,34330,9,0,1
36508,4618,UDP,1190,19017,12,1,1
11790,1574,TCP,134,58973,6,0,1
54452,6261,TCP,1052,48085,13,0,0
26518,197,UDP,564,31536,8,1,1
38413,8394,UDP,824,14768,0,0,0
46599,2318,ICMP,1335,40078,6,0,1
12550,587,UDP,1228,53944,4,0,0
61162,7642,TCP,1112,58156,9,0,0
17845,1537,ICMP,252,52538,14,1,0
32609,6998,UDP,1212,2741,10,0,0
64571,1143,ICMP,1306,38254,9,0,1
50136,7705,UDP,577,56643,10,0,0
47225,3571,TCP,527,45140,13,0,1
8384,4396,UDP,836,57919,13,0,0
35784,7328,ICMP,1420,28874,14,0,0
11985,393,ICMP,352,50909,0,1,1
62943,1792,TCP,329,4892,1,0,0
40393,1042,ICMP,1210,20469,12,0,1
58534,546,ICMP,1126,24485,12,0,0
37471,6811,UDP,1449,22729,3,0,0
36736,8814,TCP,852,7653,5,0,1
54862,116,UDP,1290,29278,1,1,1
35783,4309,TCP,1400,10441,7,0,0
63786,219,UDP,1088,16695,5,0,0
22157,8829,UDP,1007,34346,6,0,0
55559,4710,ICMP,147,25575,1,0,0
45216,1992,TCP,304,48403,14,0,0
22685,7182,TCP,1248,47544,7,1,0
53876,300,ICMP,843,40166,6,0,1
15611,4235,UDP,746,21096,14,1,1
49803,1201,UDP,389,10725,0,0,1
16979,5037,ICMP,1116,39635,1,0,0
31407,311,TCP,454,30894,13,0,0
2787,5374,TCP,1085,11338,6,0,0
27936,4731,ICMP,516,19210,11,0,1
52924,4494,ICMP,1035,40567,8,1,0
30137,1930,UDP,558,7872,3,1,1
38118,2572,TCP,1481,22662,0,0,0
39148,3165,TCP,795,56192,12,1,0
29378,8192,ICMP,1498,50616,1,0,1
48975,2067,UDP,1283,3034,9,1,1
8488,6040,UDP,541,25215,7,1,1
6384,5510,ICMP,200,49172,10,1,1
48874,578,ICMP,621,20072,6,0,1
46096,4133,TCP,697,15913,13,1,1
3476,3345,ICMP,1135,14752,1,1,0
11430,6757,TCP,1025,37366,10,1,1
44322,8414,UDP,1043,25862,12,0,1
7393,4971,TCP,738,57952,0,1,1
63803,823,UDP,355,51189,7,0,0
57629,6033,TCP,648,26534,11,1,0
52169,7210,TCP,595,19451,13,0,0
25975,4554,TCP,534,9502,4,1,0
21873,4740,TCP,1403,47072,12,0,1
56304,6926,TCP,960,25431,0,0,0
55461,7982,UDP,803,43798,14,1,0
15083,7630,ICMP,1325,53121,12,1,0
6673,7980,ICMP,83,50318,13,1,1
37500,1188,UDP,1166,52813,11,0,0
42408,41,UDP,1206,48558,12,0,1
3461,7573,UDP,166,22514,13,1,0
8541,8812,UDP,1463,7362,6,1,0
22259,525,ICMP,302,627,11,0,1
43137,725,ICMP,447,12127,12,0,0
8197,8416,ICMP,293,9913,8,0,0
2602,2820,ICMP,144,57786,12,0,0
2100,1200,TCP,142,49688,13,0,1
32421,2788,UDP,527,9388,8,1,0
7449,4337,UDP,623,5213,3,1,0
30550,4184,TCP,1401,43954,11,0,1
52363,4352,UDP,623,59804,7,0,1
59819,1939,ICMP,184,17196,4,1,1
16846,975,ICMP,980,29332,3,1,0
59010,8904,UDP,357,7101,10,0,0
42426,1619,ICMP,326,58581,14,0,0
40864,6924,UDP,948,22654,5,0,0
34863,6582,TCP,1242,17913,8,1,0
43750,2219,TCP,895,2829,0,1,1
10047,8020,UDP,1195,22838,13,0,0
26621,1064,TCP,769,50858,8,1,1
14510,3405,TCP,926,54757,0,0,0
30611,4914,UDP,1025,46558,13,1,1
29384,8223,TCP,861,28318,14,1,0
65493,8001,ICMP,1413,24434,4,0,0
38616,1809,TCP,946,55004,0,0,0
22120,1588,UDP,420,37797,14,0,1
9866,96,UDP,1462,38582,6,0,0
50417,820,ICMP,55,9547,13,0,0
39607,7494,ICMP,559,29565,4,0,0
10696,5566,ICMP,1367,54172,8,0,1
20091,3355,ICMP,546,10584,10,0,0
3998,2811,TCP,85,13627,1,1,1
18665,5463,ICMP,811,30630,5,0,0
29881,570,ICMP,1146,10144,2,0,1
40879,1284,UDP,519,45835,6,0,1
57609,434,ICMP,1310,28660,9,1,0
28309,6871,ICMP,1437,35185,4,1,0
18288,4738,ICMP,1357,11724,13,1,1
21397,5222,UDP,1333,33957,3,0,0
44289,3553,TCP,1012,1061,2,0,0
30629,8954,UDP,1124,58290,11,0,0
31545,2197,TCP,185,44967,4,0,0
12823,2238,ICMP,844,11714,8,1,0
60152,1825,UDP,117,50437,10,0,1
10992,585,TCP,207,38744,0,1,1
45558,6712,TCP,996,6539,13,0,0
40447,8582,TCP,1138,47400,13,1,0
12262,3221,TCP,350,28650,4,1,0
2020,7304,UDP,705,30231,5,1,1
50540,7150,TCP,1109,38347,9,0,0
31004,8761,UDP,500,51202,8,0,1
62256,7995,UDP,1433,32910,12,0,0
7817,5160,TCP,67,19720,13,0,0
37665,772,ICMP,726,51573,11,1,1
